,animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
0,396225,DAAAG1140304001,7,63,新竹縣動物保護教育園區,狗,混種犬          ,F,MEDIUM,黑色,ADULT,T,F,,,OPEN,頸部外傷治療中,,2025-03-06,2999-12-31,2025/03/09,2025/03/04,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1741072176390.png,,2025/03/09,新竹縣竹北市縣政五街192號,03-5519548
1,396903,VAAAG114030909,2,49,臺北市動物之家,貓,混種貓                 ,M,MEDIUM,黃白色,ADULT,T,F,,,OPEN,,,2025-03-09,2999-12-31,2025/03/09,2025/03/09,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1741508556715.png,,2025/03/09,臺北市內湖區安美街191號,02-87913254
2,363882,VAAAG113062607,2,49,臺北市動物之家,狗,貴賓犬        ,M,SMALL,棕色,ADULT,T,F,樟新里樟新街(原拾獲地:辛亥路七段),,OPEN,,,2024-07-18,2999-12-31,2025/03/09,2024/06/26,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1719400504107.png,,2025/03/09,臺北市內湖區安美街191號,02-87913254
3,132211,108112702,2,49,臺北市動物之家,狗,混種犬          ,M,MEDIUM,白色,ADULT,T,F,民眾不擬續養,,OPEN,該動物目前保母攜出中 尚未在所內,,2021-04-10,2999-12-31,2025/03/09,2019/11/27,臺北市動物之家,https://www.pet.gov.tw/upload/pic/53756_108112702_0.JPG,,2025/03/09,臺北市內湖區安美街191號,02-87913254
4,362421,VAAAG113061603,2,49,臺北市動物之家,貓,混種貓                 ,M,MEDIUM,虎斑色,ADULT,T,F,政大一街210巷,,OPEN,該動物目前保母攜出照顧中 尚未在所內,,2024-06-24,2999-12-31,2025/03/09,2024/06/16,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1718854938283.png,,2025/03/09,臺北市內湖區安美街191號,02-87913254
5,395876,AAAHG1140301001,3,58,新北市五股區公立動物之家,狗,貴賓犬        ,F,SMALL,灰色,ADULT,F,F,中正路,,OPEN,協尋飼主中 114.03.13 10AM 開放認養,,2025-03-13,2999-12-31,2025/03/09,2025/03/01,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1740815054710.png,,2025/03/09,新北市五股區外寮路9-9號,02-82925265
6,392658,VAAAG114020711,2,49,臺北市動物之家,貓,混種貓                 ,F,MEDIUM,虎斑色,ADULT,T,F,東山路25巷,,OPEN,右剪耳,,2025-02-16,2999-12-31,2025/03/09,2025/02/07,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1738999235499.png,,2025/03/09,臺北市內湖區安美街191號,02-87913254
7,388782,VAAAG114010308,2,49,臺北市動物之家,貓,混種貓                 ,F,MEDIUM,三花色,ADULT,T,F,中央北路四段,,OPEN,右剪耳,,2025-02-16,2999-12-31,2025/03/09,2025/01/03,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1735888359125.png,,2025/03/09,臺北市內湖區安美街191號,02-87913254
8,394066,VAAAG114021704,2,49,臺北市動物之家,貓,混種貓                 ,M,MEDIUM,虎斑白色,ADULT,T,F,劍潭里北安路,,OPEN,左前腳掌傷，鼻傷,,2025-03-09,2999-12-31,2025/03/09,2025/02/17,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1739854360201.png,,2025/03/09,臺北市內湖區安美街191號,02-87913254
9,395890,VAAAG114030103,2,49,臺北市動物之家,貓,混種貓                 ,M,MEDIUM,虎斑白色,ADULT,T,F,八仙里 承德路七段,,OPEN,,,2025-03-09,2999-12-31,2025/03/09,2025/03/01,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1740895231916.png,,2025/03/09,臺北市內湖區安美街191號,02-87913254
10,395716,VAAAG114022712,2,49,臺北市動物之家,貓,混種貓                 ,F,MEDIUM,黃虎斑色,ADULT,T,F,延平北路八段2巷200弄,,OPEN,,,2025-03-09,2999-12-31,2025/03/09,2025/02/27,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1740641380164.png,,2025/03/09,臺北市內湖區安美街191號,02-87913254
11,395809,VAAAG114022802,2,49,臺北市動物之家,貓,混種貓                 ,F,MEDIUM,虎斑色,CHILD,T,F,蘭興里福華路１７４巷,,OPEN,,,2025-03-09,2999-12-31,2025/03/09,2025/02/28,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1740715252703.png,,2025/03/09,臺北市內湖區安美街191號,02-87913254
12,387932,VAAAG113122505,2,49,臺北市動物之家,貓,混種貓                 ,F,SMALL,虎斑色,CHILD,T,F,永吉路30巷,,OPEN,右眼異常,,2024-12-25,2999-12-31,2025/03/09,2024/12/25,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1735111812296.png,,2025/03/09,臺北市內湖區安美街191號,02-87913254
13,396887,AAAJG1140309004,3,60,新北市三芝區公立動物之家,貓,混種貓                 ,F,MEDIUM,,ADULT,T,F,,,OPEN,,,2025-03-09,2999-12-31,,2025/03/09,新北市三芝區公立動物之家,https://www.pet.gov.tw/upload/pic/1741504656936.png,,,新北市三芝區青山路(龍巖人本旁),02-26365436
14,396886,AAAJG1140309003,3,60,新北市三芝區公立動物之家,貓,混種貓                 ,F,MEDIUM,三花色,ADULT,T,F,,,OPEN,,,2025-03-09,2999-12-31,,2025/03/09,新北市三芝區公立動物之家,https://www.pet.gov.tw/upload/pic/1741504608628.png,,,新北市三芝區青山路(龍巖人本旁),02-26365436
